Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	
0.507782	0.484607	0.017271	2.865192	31.591887	
0.510875	0.486496	0.017256	2.840550	31.710971	
0.507466	0.482889	0.017309	2.837787	31.219269	
0.509331	0.484547	0.017369	2.824032	31.177013	
0.531639	0.507581	0.016790	2.818627	31.200061	
0.519814	0.495398	0.016968	2.802076	31.250000	
0.528341	0.503634	0.017099	2.810917	31.342194	
0.553183	0.529667	0.016208	2.788181	31.926091	
0.518373	0.493610	0.016997	2.776299	31.937615	
0.546583	0.522261	0.016626	2.775571	32.337124	
0.518664	0.493108	0.016863	2.820323	32.106638	
0.521834	0.496077	0.016694	2.830192	31.745544	
0.536947	0.511701	0.016272	2.811887	31.960664	
0.529999	0.503768	0.016839	2.795753	32.440842	
0.532280	0.505970	0.016821	2.788079	32.871082	
0.539703	0.513917	0.016419	2.799450	32.632913	
0.554832	0.529087	0.016329	2.783245	32.494622	
0.521810	0.495294	0.016750	2.776491	33.036263	
0.525756	0.499190	0.016716	2.772162	32.997849	
0.529837	0.502745	0.016620	2.789994	33.074677	
0.541317	0.514096	0.016278	2.786400	33.358943	
0.538509	0.510895	0.016424	2.790440	33.343577	
0.556491	0.529504	0.015989	2.782718	33.393516	
0.532825	0.505277	0.016257	2.762383	33.013215	
0.516297	0.488170	0.016536	2.716046	33.497234	
0.541662	0.513665	0.016396	2.714998	33.793024	
0.536573	0.508530	0.016360	2.712732	33.650891	
0.551087	0.523637	0.015953	2.716433	33.155347	
0.563487	0.535295	0.016020	2.743674	32.813460	
0.531081	0.501517	0.016363	2.718180	32.894130	
0.547205	0.517944	0.016112	2.742496	32.267978	
0.537360	0.508295	0.015943	2.750718	32.340965	
0.526136	0.495885	0.016532	2.750298	32.905655	
0.517607	0.487485	0.016399	2.743815	33.212969	
0.537307	0.507037	0.016419	2.714075	33.827597	
0.541965	0.512226	0.016071	2.688885	34.242471	
0.530176	0.499742	0.016385	2.701321	34.503688	
0.541102	0.510089	0.016278	2.690259	34.123387	
0.555148	0.524187	0.015907	2.689541	34.330824	
0.533334	0.501650	0.016197	2.694362	34.695759	
0.518907	0.486724	0.016392	2.701060	34.423018	
0.524828	0.492891	0.016207	2.723592	34.446066	
0.519478	0.487499	0.016170	2.686992	34.657345	
0.529014	0.497508	0.015874	2.693532	34.634296	
0.555329	0.523889	0.015784	2.685957	34.480639	
0.549443	0.518490	0.015484	2.683102	34.465274	
0.535246	0.502009	0.016087	2.688576	34.246312	
0.558267	0.526281	0.015292	2.665907	34.622772	
0.535530	0.502595	0.015673	2.664398	34.676552	
0.529381	0.495272	0.016174	2.653415	34.726490	
0.536544	0.503166	0.015773	2.659431	34.837892	
0.557350	0.524663	0.015391	2.666659	35.026122	
0.511823	0.477757	0.015984	2.698774	34.668869	
0.554383	0.521034	0.015594	2.687292	34.361555	
0.528795	0.494781	0.015787	2.676947	34.269361	
0.531189	0.495759	0.015860	2.660342	34.446066	
0.544149	0.509008	0.015660	2.659868	34.776429	
0.532455	0.496430	0.015999	2.651299	35.260449	
0.535135	0.499270	0.015873	2.655894	35.283497	
0.552551	0.517594	0.015419	2.646754	35.633067	
0.563748	0.528023	0.015703	2.631111	35.828980	
0.574353	0.539166	0.015416	2.658776	35.152889	
0.580388	0.545658	0.015164	2.669751	35.087585	
0.547488	0.511850	0.015185	2.639872	35.241242	
0.520727	0.484297	0.015253	2.652647	35.625384	
0.537569	0.500881	0.015291	2.679654	35.598494	
0.542422	0.505614	0.015291	2.638402	35.671481	
0.518874	0.481711	0.015387	2.634438	35.809773	
0.545861	0.509048	0.015191	2.644584	35.817455	
0.547857	0.510531	0.015352	2.655113	35.821297	
0.541028	0.503718	0.015296	2.619793	36.301475	
0.576084	0.539078	0.015031	2.622073	36.259219	
0.544044	0.505371	0.015224	2.635289	36.216964	
0.548737	0.510493	0.014990	2.607149	35.782883	
0.549250	0.510543	0.015123	2.597534	35.905808	
0.563190	0.524773	0.014961	2.597202	35.613860	
0.572132	0.533814	0.014874	2.596342	36.024892	
0.563672	0.524900	0.015002	2.611695	36.097880	
0.537791	0.497777	0.015433	2.648248	35.717578	
0.561306	0.522427	0.014947	2.652346	35.498617	
0.569570	0.529355	0.014951	2.664518	35.360326	
0.556643	0.516247	0.014932	2.645039	35.898125	
0.537970	0.497158	0.015024	2.615077	36.120928	
0.552217	0.511478	0.014949	2.581445	36.697142	
0.566366	0.526010	0.014763	2.567863	36.697142	
0.566803	0.526279	0.014778	2.568946	36.301475	
0.554925	0.514611	0.014655	2.578178	36.424401	
0.572404	0.531290	0.014900	2.565011	36.908420	
0.535951	0.493334	0.015030	2.575653	37.181162	
0.568955	0.526891	0.014674	2.577138	36.923786	
0.552899	0.510251	0.014818	2.569784	36.904579	
0.542933	0.499867	0.014918	2.560962	36.870006	
0.579553	0.537162	0.014639	2.549789	36.677935	
0.568512	0.525925	0.014662	2.529555	36.846958	
0.551676	0.508164	0.014934	2.534942	36.854640	
0.560790	0.517972	0.014652	2.556947	36.750922	
0.544961	0.500691	0.014779	2.546885	37.350184	
0.574330	0.530481	0.014461	2.519043	37.695913	
0.545670	0.500922	0.014700	2.529099	37.530731	
0.560084	0.515376	0.014643	2.511350	37.250307	
0.579978	0.535453	0.014539	2.507066	37.250307	
0.554079	0.508790	0.014745	2.494575	37.185003	
0.569565	0.524599	0.014596	2.509652	37.158113	
0.557805	0.513070	0.014478	2.495744	37.918715	
0.547945	0.502294	0.014397	2.474069	38.387369	
0.558347	0.511978	0.014480	2.509190	37.960971	
0.557120	0.510397	0.014534	2.497013	38.030117	
0.582252	0.536572	0.014168	2.497242	37.960971	
0.542155	0.495996	0.014275	2.468383	38.141518	
0.567000	0.519851	0.014538	2.453153	38.318224	
0.562517	0.515747	0.014380	2.451275	38.502612	
0.566149	0.519562	0.014282	2.418346	38.752305	
0.593610	0.546098	0.014128	2.403964	38.621696	
0.578725	0.531054	0.014117	2.399192	38.579441	
0.561445	0.513882	0.014031	2.420582	38.698525	
0.574269	0.526024	0.014191	2.452440	38.329748	
0.589403	0.541015	0.014192	2.473572	38.183774	
0.576979	0.529449	0.013901	2.459676	38.164567	
0.576247	0.528201	0.014012	2.436212	38.318224	
0.565609	0.515325	0.014536	2.453756	38.114628	
0.569818	0.519117	0.014297	2.457512	38.091580	
0.552022	0.500812	0.014386	2.468836	37.891825	
0.592389	0.541736	0.014189	2.460874	38.249078	
0.579028	0.528583	0.014091	2.463136	38.049324	
0.574528	0.524060	0.014058	2.477040	37.749693	
0.569424	0.518388	0.014177	2.469427	37.765058	
0.591149	0.540597	0.014004	2.462602	37.999385	
0.571447	0.520111	0.013950	2.432075	38.464198	
0.567882	0.516232	0.013846	2.447453	38.264444	
0.565950	0.513565	0.013992	2.474370	38.206822	
0.581450	0.529218	0.013913	2.482258	38.003227	
0.564091	0.511522	0.013964	2.486588	37.980178	
0.567065	0.515201	0.013739	2.493775	37.692071	
0.571291	0.519018	0.013810	2.512339	37.887984	
0.589874	0.537625	0.013734	2.508418	37.876460	
0.584108	0.529700	0.013921	2.487145	37.776583	
0.565548	0.510820	0.013954	2.476015	38.103104	
0.586456	0.532072	0.013829	2.482584	38.245237	
0.561727	0.507090	0.013856	2.479266	38.875230	
0.575396	0.519894	0.014038	2.455360	38.909803	
0.572124	0.517414	0.013800	2.429164	38.852182	
0.570800	0.515319	0.013958	2.456160	38.790719	
0.571561	0.515347	0.013853	2.457939	38.871389	
0.576240	0.520017	0.013711	2.455340	38.602489	
0.597452	0.540905	0.013742	2.440560	39.251690	
0.581720	0.524498	0.013869	2.438166	39.186386	
0.556925	0.500318	0.013684	2.429364	39.301629	
0.598997	0.542375	0.013652	2.454251	39.128765	
0.582488	0.525115	0.013796	2.460930	39.366933	
0.576457	0.519617	0.013503	2.454170	39.635833	
0.591906	0.533993	0.013511	2.417327	39.747234	
0.605326	0.547748	0.013386	2.398613	40.073755	
0.589326	0.531341	0.013446	2.403192	40.192840	
0.599811	0.541813	0.013414	2.439810	39.939305	
0.588813	0.530416	0.013471	2.447454	39.835587	
0.594646	0.535778	0.013545	2.444147	39.989244	
0.588935	0.529714	0.013533	2.443584	39.647357	
0.591182	0.530571	0.013539	2.434021	39.351567	
0.585489	0.523472	0.013807	2.454861	39.117240	
0.588665	0.527625	0.013555	2.447105	39.244007	
0.611736	0.550831	0.013491	2.405182	39.693454	
0.603105	0.542551	0.013379	2.404338	39.781807	
0.579209	0.519672	0.013121	2.408276	39.708820	
0.590414	0.529779	0.013314	2.393921	39.827904	
0.579837	0.517169	0.013417	2.399279	39.747234	
0.599218	0.536191	0.013450	2.390953	39.639674	
0.604344	0.541385	0.013401	2.397898	39.935464	
0.569477	0.506983	0.013269	2.392981	39.870160	
0.617959	0.554721	0.013394	2.386161	40.104487	
0.589153	0.526455	0.013247	2.414956	39.950830	
0.597051	0.534075	0.013263	2.423295	39.651199	
0.629120	0.564844	0.013202	2.425449	39.389982	
0.599372	0.534688	0.013242	2.432085	39.336202	
0.590376	0.526310	0.013083	2.413483	39.681930	
0.596426	0.531127	0.013303	2.432467	39.701137	
0.614926	0.550171	0.013160	2.412189	39.827904	
0.603237	0.538425	0.013140	2.396577	40.273510	
0.580976	0.515468	0.013215	2.408964	40.354179	
0.619344	0.553650	0.012955	2.383395	40.477105	
0.608151	0.540413	0.013316	2.354761	40.880455	
0.598782	0.531247	0.013244	2.335977	40.830516	
0.598351	0.532019	0.012977	2.314093	41.011063	
0.602551	0.534574	0.013266	2.336890	40.646128	
0.609027	0.540653	0.013312	2.319587	40.676859	
0.599205	0.530234	0.013315	2.309429	40.642286	
0.602330	0.533107	0.013117	2.324466	40.365704	
0.607820	0.538212	0.013150	2.354486	39.993085	
0.621532	0.552397	0.013029	2.378350	39.593577	
0.632481	0.562899	0.013083	2.376116	39.816380	
0.595139	0.524215	0.013304	2.366651	40.235095	
0.612891	0.541973	0.013271	2.383431	40.338814	
0.607837	0.536576	0.013147	2.391299	40.273510	
0.614091	0.542443	0.013057	2.375417	40.446374	
0.622024	0.549816	0.013120	2.382160	40.688384	
0.609965	0.538415	0.012970	2.393304	40.277351	
0.602218	0.529242	0.013197	2.385197	40.300400	
0.625787	0.554103	0.012934	2.387587	40.235095	
0.606875	0.534449	0.013037	2.386508	40.338814	
0.622859	0.547520	0.013277	2.385657	40.139060	
0.620014	0.546434	0.012906	2.394171	40.300400	
0.614764	0.540038	0.013068	2.382421	40.719115	
0.617913	0.542824	0.013101	2.393612	40.665335	
0.632661	0.558160	0.012969	2.399307	40.603872	
0.599531	0.525001	0.012944	2.395516	40.300400	
0.595170	0.519266	0.013076	2.393612	40.411801	
0.621877	0.545125	0.012996	2.409073	40.046865	
0.637220	0.560929	0.012880	2.397610	40.369545	
0.633515	0.558103	0.012703	2.336637	40.795943	
0.607265	0.529519	0.013066	2.329305	40.838199	
0.637550	0.560779	0.012873	2.335660	41.030270	
0.626932	0.549388	0.012974	2.331077	41.095575	
0.624682	0.546151	0.012894	2.368107	40.738322	
0.626008	0.546432	0.012987	2.371831	40.834358	
0.640764	0.561438	0.012908	2.340380	41.203135	
0.630589	0.551482	0.012844	2.344744	40.742163	
0.612216	0.532853	0.012857	2.323611	41.037953	
0.628107	0.547915	0.012962	2.339520	40.646128	
0.618709	0.539321	0.012705	2.354427	40.853565	
0.617963	0.536199	0.012897	2.373674	40.795943	
0.622463	0.540896	0.012830	2.379708	40.515519	
0.625233	0.543504	0.012827	2.339094	41.014905	
0.628123	0.546282	0.012816	2.371457	40.876613	
0.641699	0.560183	0.012737	2.361990	41.030270	
0.632222	0.550889	0.012670	2.393228	40.795943	
0.618274	0.533837	0.012882	2.399383	40.200522	
0.625354	0.541273	0.012792	2.408473	39.850953	
0.652135	0.569626	0.012525	2.398794	39.970037	
0.646231	0.562226	0.012725	2.455712	39.159496	
0.621259	0.535416	0.012975	2.473015	39.201752	
0.634911	0.550365	0.012751	2.463858	39.374616	
0.633234	0.546704	0.012820	2.446570	39.340043	
0.633969	0.547349	0.012761	2.422887	39.147972	
0.633183	0.547187	0.012634	2.422884	39.351567	
0.646222	0.560069	0.012630	2.451639	39.282422	
0.675759	0.589288	0.012649	2.412046	39.751076	
0.646670	0.561475	0.012436	2.389379	40.208205	
0.626415	0.539227	0.012549	2.377150	40.553934	
0.661101	0.572810	0.012594	2.392447	40.411801	
0.623200	0.534461	0.012624	2.396463	40.285034	
0.613170	0.523726	0.012697	2.396081	40.150584	
0.659540	0.570345	0.012635	2.386705	40.327289	
0.646184	0.558076	0.012455	2.381205	40.799785	
0.632655	0.541550	0.012726	2.382437	40.784419	
0.646720	0.556716	0.012438	2.388507	40.507837	
0.642291	0.551188	0.012556	2.390620	40.680701	
0.615202	0.521142	0.012937	2.391985	40.565458	
0.619599	0.528023	0.012569	2.380212	40.446374	
0.631731	0.540992	0.012428	2.355501	40.603872	
0.644757	0.551724	0.012599	2.344285	40.369545	
0.646137	0.552665	0.012521	2.389091	39.789490	
0.621237	0.526487	0.012658	2.392232	39.793331	
0.664555	0.571526	0.012403	2.418783	39.447603	
0.643136	0.549195	0.012499	2.367257	40.081438	
0.647743	0.552889	0.012594	2.395847	39.724186	
0.672340	0.576179	0.012619	2.372873	40.089121	
0.627809	0.531070	0.012566	2.361121	40.377228	
0.659547	0.562938	0.012517	2.389205	40.346497	
0.643503	0.546343	0.012563	2.415061	40.054548	
0.645182	0.548426	0.012485	2.426627	39.847111	
0.673782	0.578172	0.012312	2.428878	39.436079	
0.646660	0.549306	0.012364	2.432446	39.389982	
0.657338	0.557747	0.012552	2.406279	39.459127	
0.650226	0.551601	0.012398	2.377468	39.497541	
0.672897	0.574276	0.012373	2.397138	39.532114	
0.663457	0.565640	0.012247	2.432044	39.320836	
0.626800	0.528732	0.012254	2.411512	39.801014	
0.661262	0.560510	0.012377	2.399666	40.142901	
0.646557	0.545941	0.012310	2.415465	39.631991	
0.641686	0.539893	0.012422	2.387682	39.923940	
0.686072	0.584017	0.012429	2.400347	39.662723	
0.614450	0.514563	0.012141	2.402829	39.628150	
0.637251	0.534579	0.012431	2.390241	39.946988	
0.661941	0.558652	0.012296	2.383409	39.739551	
0.645580	0.541905	0.012311	2.396229	39.639674	
0.689135	0.584807	0.012364	2.391142	39.801014	
0.660363	0.555937	0.012351	2.400818	39.777966	
0.665844	0.561843	0.012277	2.411949	39.678089	
0.667824	0.560508	0.012549	2.388974	39.912415	
0.674271	0.568337	0.012252	2.413469	39.501383	
0.664896	0.558530	0.012271	2.412169	39.520590	
0.691610	0.585774	0.012186	2.396922	39.774124	
0.639945	0.533533	0.012229	2.410808	39.777966	
0.645441	0.537544	0.012376	2.411899	39.808697	
0.649731	0.541437	0.012227	2.456613	39.267056	
0.679007	0.570875	0.012155	2.440341	39.535956	
0.670936	0.560943	0.012334	2.455138	39.270897	
0.666139	0.556651	0.012254	2.468557	38.917486	
0.677598	0.567832	0.012261	2.466608	38.629379	
0.685686	0.574729	0.012311	2.483077	38.498771	
0.677147	0.565406	0.012237	2.481795	38.337431	
0.695793	0.583335	0.012285	2.479020	38.437308	
0.666678	0.552545	0.012445	2.476803	38.252919	
0.686621	0.574390	0.012214	2.453321	38.652428	
0.647010	0.535157	0.012150	2.429167	39.232483	
0.696489	0.581126	0.012343	2.418732	39.708820	
0.666345	0.551437	0.012240	2.423233	39.674247	
0.663588	0.549758	0.012096	2.435580	39.674247	
0.670441	0.556032	0.012135	2.426248	39.363092	
0.659094	0.544232	0.012160	2.416814	39.159496	
