Train Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Epoch Time	
0.321307	0.005232	0.430401	0.911255	79.480000	29.473641	
0.328049	0.005182	0.435614	0.898605	79.480000	29.650668	
0.333406	0.005741	0.441570	0.892319	79.490000	29.507849	
0.329044	0.004954	0.434721	0.907743	79.170000	29.568027	
0.342866	0.005874	0.449393	0.912085	79.170000	29.919249	
0.331649	0.005672	0.434636	0.903360	79.230000	30.060681	
0.317406	0.004583	0.412861	0.912666	79.220000	29.802005	
0.323069	0.005923	0.418523	0.908890	79.270000	29.971929	
0.319552	0.005144	0.412485	0.906949	79.360000	30.034794	
0.322097	0.005401	0.413710	0.923073	79.280000	30.046224	
0.312379	0.005613	0.399994	0.913908	79.510000	30.135174	
0.328843	0.005042	0.418732	0.919405	79.200000	30.070046	
0.325416	0.004885	0.414425	0.897079	79.650000	30.164024	
0.317063	0.005213	0.400180	0.884611	79.680000	29.898320	
0.313840	0.004359	0.396192	0.881959	79.840000	30.128438	
0.318627	0.006048	0.398654	0.902568	79.600000	30.394294	
0.317940	0.004922	0.396753	0.886889	79.650000	31.313384	
0.323635	0.006450	0.401976	0.881861	79.850000	31.141192	
0.331243	0.005583	0.408736	0.879826	80.010000	31.219674	
0.331056	0.005271	0.408890	0.873147	80.160000	31.197667	
0.320883	0.004668	0.394471	0.880577	80.140000	31.310903	
0.338576	0.005473	0.414007	0.889426	79.980000	31.300229	
0.348059	0.005121	0.425155	0.875160	80.100000	31.300723	
0.347840	0.005572	0.421311	0.858023	80.430000	31.342249	
0.335222	0.004961	0.406475	0.850680	80.500000	31.573919	
0.334161	0.004646	0.402116	0.859955	80.570000	31.639054	
0.330362	0.005138	0.396526	0.863351	80.190000	31.592860	
0.336962	0.004762	0.402852	0.867846	80.230000	31.487621	
0.339639	0.005653	0.403365	0.863031	80.360000	31.905220	
0.341784	0.005117	0.405716	0.858194	80.490000	31.863502	
0.338070	0.005097	0.398379	0.858750	80.410000	31.833903	
0.335158	0.005383	0.394497	0.857111	80.580000	31.791658	
0.342547	0.004908	0.400554	0.850801	80.500000	31.910007	
0.348484	0.004757	0.407440	0.841998	80.740000	31.683204	
0.344383	0.005130	0.399993	0.819892	81.200000	31.838235	
0.325176	0.004788	0.376284	0.809957	81.500000	32.306818	
0.322685	0.004979	0.372195	0.831791	81.210000	32.134808	
0.333216	0.004605	0.382437	0.852667	80.860000	32.144990	
0.350245	0.005471	0.401191	0.857110	80.790000	32.269983	
0.354375	0.005271	0.402686	0.843973	81.150000	32.390996	
0.345381	0.004475	0.393163	0.839210	81.040000	32.008408	
0.345230	0.004942	0.389996	0.840409	81.030000	32.213580	
0.345106	0.005224	0.388492	0.850925	80.890000	32.130894	
0.346309	0.005210	0.388427	0.837167	80.980000	32.297691	
0.346040	0.004956	0.386416	0.838288	81.100000	32.542013	
0.340254	0.004595	0.379778	0.849583	80.960000	32.449752	
0.338669	0.005018	0.374677	0.852725	80.940000	32.892958	
0.336071	0.005295	0.371397	0.844179	81.110000	32.934386	
0.343897	0.005094	0.377526	0.847110	81.000000	32.855917	
0.354699	0.004775	0.389537	0.837141	81.390000	32.691322	
0.367252	0.004631	0.401445	0.837134	81.320000	32.379914	
0.365119	0.004880	0.397563	0.826771	81.420000	32.601221	
0.364150	0.005211	0.394814	0.827923	81.410000	32.954688	
0.358871	0.004665	0.387557	0.837932	81.140000	33.567492	
0.355757	0.005179	0.383064	0.845930	81.200000	33.122169	
0.361283	0.004317	0.387273	0.833611	81.410000	33.284572	
0.367182	0.004640	0.393266	0.828514	81.190000	33.017751	
0.363549	0.004453	0.386512	0.831545	81.150000	33.451115	
0.364112	0.005014	0.386317	0.827800	81.350000	33.364525	
0.376760	0.006822	0.395551	0.823652	81.170000	33.479726	
0.389056	0.004880	0.409847	0.821377	81.330000	33.166484	
0.389773	0.004914	0.408835	0.824174	81.330000	33.428455	
0.380188	0.005109	0.396836	0.816726	81.310000	34.060007	
0.383072	0.004738	0.399256	0.799708	81.690000	33.665405	
0.383064	0.004913	0.396802	0.798649	81.890000	33.778189	
0.380641	0.004754	0.394020	0.798640	81.890000	34.077878	
0.382180	0.004387	0.393197	0.791850	81.910000	34.098230	
0.359344	0.004216	0.369564	0.780216	81.960000	34.103610	
0.360371	0.005346	0.366698	0.763878	82.140000	33.868385	
0.376619	0.004944	0.383709	0.777346	82.040000	33.794180	
0.378759	0.004571	0.383917	0.778202	82.150000	34.078582	
0.365718	0.005052	0.369371	0.765681	82.570000	34.059474	
0.368884	0.004604	0.371258	0.763226	82.560000	34.119411	
0.358601	0.004874	0.359387	0.777533	82.270000	34.394495	
0.361859	0.004569	0.361703	0.773842	82.340000	34.374787	
0.366835	0.004618	0.365114	0.772948	82.430000	34.379181	
0.376931	0.004939	0.374061	0.774691	82.280000	34.460044	
0.393191	0.004908	0.388329	0.767104	82.400000	34.471169	
0.383201	0.004858	0.377887	0.761855	82.490000	34.381606	
0.403356	0.005229	0.395086	0.766834	82.410000	34.541434	
0.394365	0.004436	0.386850	0.772656	82.390000	34.443188	
0.387660	0.004303	0.377507	0.767518	82.720000	34.762056	
0.390634	0.004833	0.379866	0.769271	82.410000	34.769758	
0.386437	0.006122	0.371895	0.755222	82.660000	34.713777	
0.388418	0.004853	0.374825	0.746786	82.930000	34.657731	
0.367714	0.004946	0.352359	0.748505	82.870000	34.844733	
0.369449	0.004407	0.354024	0.756819	82.990000	34.948568	
0.367947	0.003801	0.351321	0.761241	82.970000	35.150591	
0.375815	0.004771	0.357136	0.748235	83.010000	35.041478	
0.386539	0.005157	0.365441	0.729361	83.160000	35.103073	
0.391998	0.004303	0.370374	0.726219	83.280000	34.964158	
0.367839	0.004450	0.345876	0.728594	83.660000	35.562764	
0.380515	0.004398	0.356659	0.739434	83.280000	35.234375	
0.388321	0.004256	0.363057	0.742367	83.200000	35.422879	
0.386004	0.004263	0.359328	0.736116	83.400000	35.385151	
0.379030	0.004579	0.351585	0.732772	83.320000	35.372787	
0.381211	0.004914	0.351620	0.726751	83.060000	35.618261	
0.396848	0.004586	0.365772	0.739124	82.810000	35.442297	
0.400480	0.004670	0.367174	0.748393	82.730000	35.811057	
0.403085	0.004238	0.369389	0.754453	82.800000	35.555948	
0.394000	0.004486	0.358734	0.747603	83.090000	35.810071	
0.393190	0.004595	0.357436	0.749312	83.190000	35.799252	
