Train Loss	Train Loss X	Train Loss U	Val Loss	Val Acc.	Test Loss	Test Acc.	Epoch Time	
0.275241	0.001895	0.273346	3.613189	56.900000	3.652966	57.000000	68.405086	
0.272258	0.001593	0.270665	3.641100	56.580000	3.687622	57.000000	68.405378	
0.273260	0.001493	0.271767	3.614297	56.540000	3.663967	56.730000	68.405160	
0.276043	0.001836	0.274208	3.644546	56.440000	3.676626	56.770000	68.405495	
0.272193	0.001789	0.270404	3.661184	56.380000	3.693493	56.800000	68.405969	
0.273506	0.001831	0.271675	3.660163	56.460000	3.689518	56.810000	68.406589	
0.272251	0.001770	0.270482	3.640848	56.500000	3.682703	57.100000	68.406637	
0.284802	0.002496	0.282306	3.625796	56.760000	3.686703	57.220000	68.406563	
0.270736	0.001554	0.269182	3.631497	56.980000	3.699977	57.090000	68.406663	
0.273421	0.001829	0.271592	3.630933	56.980000	3.706328	57.020000	68.406358	
0.280062	0.002401	0.277661	3.612421	57.060000	3.685125	57.130000	68.406335	
0.266414	0.001647	0.264768	3.620464	56.920000	3.696440	57.060000	68.406063	
0.277171	0.002142	0.275029	3.624200	57.060000	3.691223	56.810000	68.406121	
0.270932	0.001605	0.269327	3.641841	57.000000	3.704984	56.820000	68.407998	
0.274197	0.001810	0.272387	3.637275	56.560000	3.718215	56.640000	68.408277	
0.268080	0.001867	0.266213	3.638765	57.060000	3.720430	56.430000	68.408042	
0.270240	0.001654	0.268586	3.683297	56.840000	3.748223	56.560000	68.408259	
0.272316	0.001756	0.270560	3.695682	56.760000	3.751491	56.550000	68.408337	
0.268542	0.001699	0.266843	3.676938	57.100000	3.742965	56.460000	68.408879	
0.268559	0.001715	0.266844	3.676290	57.140000	3.753980	56.430000	68.408929	
0.270621	0.001584	0.269038	3.650415	56.860000	3.715442	56.380000	68.407770	
0.267339	0.001694	0.265645	3.659692	56.620000	3.712211	56.630000	68.408240	
0.270185	0.001817	0.268368	3.671145	56.440000	3.717229	56.590000	68.408350	
0.274288	0.001737	0.272551	3.691163	56.180000	3.732451	56.310000	68.409011	
0.274282	0.002252	0.272029	3.671659	56.500000	3.701951	56.430000	68.408528	
0.268559	0.001890	0.266668	3.665734	56.520000	3.709205	56.600000	68.408424	
0.266368	0.001561	0.264807	3.672406	56.340000	3.712606	56.690000	68.408525	
0.274020	0.002491	0.271530	3.649345	56.380000	3.694033	56.540000	68.408664	
0.269986	0.001698	0.268287	3.656317	56.640000	3.707845	56.810000	68.408821	
0.268736	0.001913	0.266823	3.682978	56.660000	3.723116	56.680000	68.410351	
0.269394	0.001717	0.267676	3.674608	56.500000	3.716722	56.550000	68.410282	
0.273129	0.002428	0.270701	3.656722	56.860000	3.723753	56.670000	68.410364	
0.263060	0.001221	0.261839	3.653116	56.940000	3.718582	56.630000	68.410773	
0.268285	0.001915	0.266370	3.673067	56.540000	3.727592	56.630000	68.411075	
0.267705	0.002058	0.265647	3.694360	56.860000	3.758606	56.730000	68.410518	
0.279672	0.002385	0.277287	3.657732	57.160000	3.719766	56.690000	68.410540	
0.269318	0.001658	0.267660	3.662825	57.020000	3.721589	56.510000	68.410285	
0.266705	0.001734	0.264971	3.671964	57.020000	3.712339	56.560000	68.410552	
0.268428	0.001790	0.266638	3.685205	56.820000	3.720010	56.760000	68.410517	
0.271044	0.001935	0.269109	3.655519	57.140000	3.700348	56.610000	68.410823	
0.269104	0.001750	0.267355	3.673268	56.640000	3.736106	56.470000	68.410738	
0.268177	0.001734	0.266443	3.676998	56.840000	3.737489	56.550000	68.410888	
0.263839	0.001517	0.262322	3.676374	56.740000	3.736598	56.320000	68.411332	
0.265874	0.001799	0.264075	3.678306	56.700000	3.742408	56.390000	68.410920	
0.268314	0.001724	0.266590	3.681771	57.220000	3.743438	56.660000	68.411108	
0.268544	0.001751	0.266793	3.691600	56.920000	3.760544	56.590000	68.411816	
0.271879	0.002041	0.269839	3.697600	56.480000	3.778296	56.440000	68.411573	
0.266549	0.001649	0.264901	3.708700	56.480000	3.779599	56.680000	68.411450	
0.267013	0.002044	0.264970	3.673199	56.500000	3.730983	56.590000	68.410876	
