Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.722579	0.608858	0.008370	0.852892	77.960000	0.879487	76.940000	
0.726119	0.612038	0.008352	0.856466	77.800000	0.879548	77.000000	
0.733146	0.617540	0.008418	0.852342	77.700000	0.877500	76.990000	
0.742336	0.624225	0.008555	0.856825	77.480000	0.876559	77.100000	
0.730004	0.612775	0.008446	0.851450	77.580000	0.871524	77.220000	
0.747466	0.624497	0.008813	0.856211	77.600000	0.870314	77.340000	
0.728099	0.610389	0.008393	0.866588	77.380000	0.883055	76.920000	
0.733030	0.612518	0.008548	0.867580	77.420000	0.880783	77.060000	
0.740388	0.617829	0.008648	0.862654	77.540000	0.876824	77.270000	
0.743104	0.620637	0.008597	0.849116	77.940000	0.862298	77.560000	
0.751888	0.629409	0.008554	0.849573	77.900000	0.861752	77.440000	
0.758270	0.633842	0.008645	0.842950	78.200000	0.857206	77.460000	
0.749753	0.625606	0.008583	0.854951	77.720000	0.875707	76.950000	
0.713516	0.594560	0.008182	0.850581	78.080000	0.871725	77.280000	
0.728173	0.605803	0.008375	0.850721	77.720000	0.865143	77.500000	
0.733094	0.609244	0.008434	0.859566	77.780000	0.876004	77.290000	
0.738486	0.615488	0.008334	0.869708	77.420000	0.883422	77.030000	
0.747264	0.621513	0.008479	0.850822	77.880000	0.860643	77.550000	
0.742092	0.617114	0.008386	0.856761	78.020000	0.871880	77.310000	
0.741450	0.618161	0.008232	0.848155	78.040000	0.863949	77.350000	
0.715527	0.594850	0.008018	0.841230	78.540000	0.859159	77.770000	
0.732869	0.609850	0.008133	0.832664	78.360000	0.849749	77.880000	
0.748998	0.619529	0.008519	0.833018	78.080000	0.852044	77.700000	
0.772568	0.641034	0.008613	0.836158	78.060000	0.853026	77.630000	
0.749651	0.621287	0.008366	0.821520	78.320000	0.837853	77.730000	
0.735354	0.609223	0.008181	0.826592	78.700000	0.844926	77.880000	
0.720468	0.595702	0.008054	0.828914	78.280000	0.848153	77.820000	
0.755322	0.624175	0.008426	0.831632	78.180000	0.850907	77.630000	
0.722957	0.599340	0.007906	0.820381	78.620000	0.843251	77.870000	
0.733760	0.605083	0.008190	0.813244	78.880000	0.834351	78.050000	
0.735025	0.607469	0.008081	0.811954	78.980000	0.831131	78.170000	
0.744587	0.613612	0.008260	0.805867	79.220000	0.823133	78.540000	
0.756468	0.623037	0.008376	0.815749	79.020000	0.829304	78.470000	
0.747029	0.615931	0.008192	0.814776	79.080000	0.831775	78.440000	
0.766012	0.629523	0.008490	0.816174	78.820000	0.832145	78.220000	
0.758805	0.623289	0.008391	0.815793	78.680000	0.833279	78.290000	
0.759227	0.622453	0.008431	0.801284	78.880000	0.817883	78.370000	
0.750107	0.616397	0.008205	0.807233	79.260000	0.825513	78.200000	
0.743738	0.610502	0.008139	0.806871	78.920000	0.822992	78.460000	
0.743558	0.608912	0.008189	0.822351	78.860000	0.839590	78.360000	
0.722244	0.594399	0.007741	0.825529	78.640000	0.838257	78.470000	
0.757578	0.620675	0.008252	0.819755	79.040000	0.828167	78.880000	
0.772511	0.631568	0.008459	0.814382	79.220000	0.819851	78.870000	
0.744213	0.609333	0.008059	0.810705	79.100000	0.814528	78.790000	
0.736676	0.601813	0.008023	0.807483	79.040000	0.810857	78.890000	
0.731011	0.597519	0.007907	0.808171	79.440000	0.809053	78.930000	
0.731653	0.597403	0.007917	0.800920	79.780000	0.803359	79.300000	
0.723843	0.593334	0.007664	0.802885	79.680000	0.810588	79.250000	
0.740122	0.604935	0.007904	0.807080	79.540000	0.818852	79.210000	
0.759876	0.620514	0.008114	0.794082	80.080000	0.805078	79.290000	
0.740263	0.604560	0.007868	0.784908	80.100000	0.799532	79.390000	
0.729630	0.594603	0.007795	0.790489	80.000000	0.805338	79.460000	
0.780438	0.634873	0.008368	0.790560	79.920000	0.805807	79.290000	
0.737447	0.598469	0.007956	0.795366	79.600000	0.809622	79.330000	
0.773408	0.628716	0.008248	0.802646	79.320000	0.816303	78.970000	
0.772049	0.626076	0.008287	0.797452	79.640000	0.809700	79.100000	
0.766315	0.620124	0.008265	0.789991	79.800000	0.800993	79.220000	
0.750894	0.608901	0.007995	0.786494	80.020000	0.792532	79.480000	
0.754463	0.611051	0.008041	0.793153	79.480000	0.797336	79.360000	
0.739812	0.598983	0.007864	0.788297	79.540000	0.795807	79.510000	
0.768442	0.622727	0.008104	0.791569	79.820000	0.799590	79.470000	
0.766372	0.621102	0.008046	0.792679	79.660000	0.800496	79.410000	
0.788043	0.636457	0.008362	0.790860	79.800000	0.803009	79.230000	
0.767298	0.617892	0.008208	0.789877	79.700000	0.800884	79.340000	
0.773226	0.625746	0.008071	0.784128	79.920000	0.797926	79.450000	
0.781566	0.628862	0.008323	0.791066	79.940000	0.805630	79.420000	
0.765560	0.616883	0.008071	0.779985	80.060000	0.794973	79.450000	
0.750413	0.604936	0.007866	0.791917	79.820000	0.803024	79.450000	
0.779970	0.626537	0.008264	0.784973	79.940000	0.797049	79.520000	
0.760610	0.611171	0.008017	0.798392	79.520000	0.810307	79.370000	
0.765093	0.614663	0.008038	0.803968	79.600000	0.819751	79.370000	
0.766255	0.615303	0.008035	0.799883	79.920000	0.815456	79.360000	
0.749049	0.602103	0.007791	0.797734	79.800000	0.812473	79.180000	
0.760546	0.610805	0.007909	0.786803	79.840000	0.798171	79.440000	
0.763392	0.611722	0.007980	0.782292	80.000000	0.789647	79.700000	
0.768910	0.615175	0.008058	0.778585	80.220000	0.790655	79.510000	
0.769174	0.617169	0.007936	0.783145	79.960000	0.791561	79.580000	
0.766464	0.611917	0.008038	0.778717	80.340000	0.785105	79.880000	
0.802718	0.643355	0.008258	0.776829	80.140000	0.783607	79.760000	
0.746182	0.599506	0.007571	0.779557	80.200000	0.786255	79.530000	
0.768519	0.614186	0.007937	0.785253	79.840000	0.789899	79.480000	
0.763746	0.610442	0.007854	0.788101	80.140000	0.797604	79.370000	
